"";"Site";"Site_short";"Altitude";"Horizon";"Zone_echantillonage";"rep_pcr";"EXTRACTION.CODE";"Milieu";"Code_plot";"X";"Gradient";"Carbon";"Nitrogen";"pH";"Organic_matter_2mm";"EEA_AG";"EEA_BG";"EEA_CB";"EEA_LAP";"EEA_XYL";"EEA_PHOS";"EEA_NAG";"Environment";"Alt_groups";"sample";"category";"site";"chlorophyta_part";"dist_barycenter"
"CHA12_c";"CHAMROUSSE";"CHA";1470;"SOL";"C";12;"CHA12";"Milieu forestier";"CHA_1470_SOL";16;"CHA";9,140461922;0,469707767333333;4,6425;15,5562670333333;8,90666666666667;257,4;1314,37333333333;242,01;43,2666666666667;6340;595,333333333333;"Milieu forestier";1500;"CHA12_c";"sample";"CHA";0,779350999944907;0,382454367011658
"CHA13_a";"CHAMROUSSE";"CHA";1710;"LIT";"A";13;"CHA13";"Milieu forestier";"CHA_1710_LIT";17;"CHA";29,51425934;1,213865697;4,50666666666667;56,3556778166667;94,6;4829,76666666667;1086,47;465,283333333333;880,573333333333;28366,07;2044,97666666667;"Milieu forestier";2000;"CHA13_a";"sample";"CHA";0,682847896440129;0,42142292972527
"CHA13_b";"CHAMROUSSE";"CHA";1710;"LIT";"A";13;"CHA13";"Milieu forestier";"CHA_1710_LIT";17;"CHA";29,51425934;1,213865697;4,50666666666667;56,3556778166667;94,6;4829,76666666667;1086,47;465,283333333333;880,573333333333;28366,07;2044,97666666667;"Milieu forestier";2000;"CHA13_b";"sample";"CHA";0,615319345880901;0,413585225300496
"CHA13_c";"CHAMROUSSE";"CHA";1710;"LIT";"A";13;"CHA13";"Milieu forestier";"CHA_1710_LIT";17;"CHA";29,51425934;1,213865697;4,50666666666667;56,3556778166667;94,6;4829,76666666667;1086,47;465,283333333333;880,573333333333;28366,07;2044,97666666667;"Milieu forestier";2000;"CHA13_c";"sample";"CHA";0,565192126098642;0,365473236665372
"CHA14_a";"CHAMROUSSE";"CHA";1710;"LIT";"B";14;"CHA14";"Milieu forestier";"CHA_1710_LIT";17;"CHA";29,51425934;1,213865697;4,50666666666667;56,3556778166667;94,6;4829,76666666667;1086,47;465,283333333333;880,573333333333;28366,07;2044,97666666667;"Milieu forestier";2000;"CHA14_a";"sample";"CHA";0,654048490393413;0,491440577552201
"CHA14_b";"CHAMROUSSE";"CHA";1710;"LIT";"B";14;"CHA14";"Milieu forestier";"CHA_1710_LIT";17;"CHA";29,51425934;1,213865697;4,50666666666667;56,3556778166667;94,6;4829,76666666667;1086,47;465,283333333333;880,573333333333;28366,07;2044,97666666667;"Milieu forestier";2000;"CHA14_b";"sample";"CHA";0,76605504587156;0,417869750091793
"CHA14_c";"CHAMROUSSE";"CHA";1710;"LIT";"B";14;"CHA14";"Milieu forestier";"CHA_1710_LIT";17;"CHA";29,51425934;1,213865697;4,50666666666667;56,3556778166667;94,6;4829,76666666667;1086,47;465,283333333333;880,573333333333;28366,07;2044,97666666667;"Milieu forestier";2000;"CHA14_c";"sample";"CHA";0,586498475187136;0,473264854143517
"CHA16_a";"CHAMROUSSE";"CHA";1710;"SOL";"A";16;"CHA16";"Milieu forestier";"CHA_1710_SOL";18;"CHA";18,8421786633333;0,887111683666667;4,48333333333333;36,6092340566667;0;1042,28333333333;107,656666666667;196,286666666667;274,816666666667;16021,88;618,97;"Milieu forestier";2000;"CHA16_a";"sample";"CHA";0,590322297356635;0,27372674138757
"CHA16_b";"CHAMROUSSE";"CHA";1710;"SOL";"A";16;"CHA16";"Milieu forestier";"CHA_1710_SOL";18;"CHA";18,8421786633333;0,887111683666667;4,48333333333333;36,6092340566667;0;1042,28333333333;107,656666666667;196,286666666667;274,816666666667;16021,88;618,97;"Milieu forestier";2000;"CHA16_b";"sample";"CHA";0,619888569981428;0,280629026860348
"CHA16_c";"CHAMROUSSE";"CHA";1710;"SOL";"A";16;"CHA16";"Milieu forestier";"CHA_1710_SOL";18;"CHA";18,8421786633333;0,887111683666667;4,48333333333333;36,6092340566667;0;1042,28333333333;107,656666666667;196,286666666667;274,816666666667;16021,88;618,97;"Milieu forestier";2000;"CHA16_c";"sample";"CHA";0,58459265229364;0,304923964732384
